UNLOCODE	Countrycode	Town	Long	Lat	top500_id	meril_id	Source
NL HA9	NL	The Hague	4.3000	52.0833		15483;15565	unlocode
NL UTC	NL	Utrecht	5.1333	52.0833		15432;15433;15360;16022	unlocode
NL ZGE	NL	Zwiggelte	6.5833	52.8667		15422	unlocode
	NO	AS	10.7742	59.6793		14794	osm
	NO	Kjeller	11.0464	59.9732		15027	osm
	NO	Ny-Aalesund	11.8694	78.9238		15619	googlemaps
	NO	Ny-Ålesund	11.9256	78.9259		14690	osm
NO BDN	NO	Blomsterdalen	5.2500	60.2667		14568	unlocode
NO BGO	NO	Bergen	5.3167	60.3833		14578;15475;15440;15577	unlocode
NO OSL	NO	Oslo	10.7333	59.9000		14876;14941;14543;15243;14474;14851;14976	unlocode
NO TOS	NO	Tromsø	18.9667	69.6667		15584;14873	unlocode
NO TRD	NO	Trondheim	10.4000	63.4333	50713	14633;14657;14502	unlocode
	PL	Katowice	19.0216	50.2599		15098	osm
PL GDN	PL	Gdańsk	18.6496	54.3538	50571		googlemaps
PL KRK	PL	Kraków	19.9478	50.0539	47634	15509;15071	googlemaps
PL POZ	PL	Poznan	16.9081	52.3986	50183		googlemaps
PL WAW	PL	Warsaw	21.0126	52.2318	49655		unlocode
PL WRO	PL	Wroclaw	17.0346	51.1082	50102		googlemaps
	PT	Lisbon	-9.1366	38.7078		15023;15275;14975;15163	osm
PT AVE	PT	Aveiro	-8.6500	40.6333		15009	unlocode
PT BGZ	PT	Braga	-8.4333	41.5500		15540	unlocode
PT CPC	PT	Caparica	-9.2000	38.6667		15515	unlocode
PT LIS	PT	Lisboa	-9.1333	38.7167		15019;15576;15246;15323	unlocode
PT SAC	PT	Sacavém	-9.1000	38.7833		14683	unlocode
	RO	Bucharest	26.1027	44.4361		15546;15775;15795	osm
	RO	Bucharest-Magurele	26.0131	44.3621		14806;15599	googlemaps
RO CLJ	RO	Cluj-Napoca	23.6000	46.7667		15800;15798	unlocode
RO MGR	RO	Magurele	26.0333	44.3500		15792;15793;15322;15791	unlocode
RO VAR	RO	Voluntari	26.1833	44.4833		15790	unlocode
	SE	Kiruna	20.2255	67.8551		14438	osm
	SE	Lund	13.1929	55.7029		15395;15194	osm
SE 	SE				50752;50699;50433		top500
SE ABS	SE	Abisko	18.7833	68.3500		15309	unlocode
SE GOT	SE	Göteborg	11.9667	57.7167		15277	unlocode
SE NOS	SE	Onsala	12.0167	57.4167		15219	unlocode
SE NRK	SE	Norrköping	16.1833	58.6000		15157	unlocode
SE STO	SE	Stockholm	18.0500	59.3333	48188	15420;15168;15210	unlocode
SE UME	SE	Umeå	20.2500	63.8333		15641	unlocode
SE UPP	SE	Uppsala	17.6333	59.8667		15637	unlocode
	SI	Ljubljana	14.5069	46.0499		15494;15615;14948;15080;15352;15383;14634;14907;15385	osm
	SI	Maribor	15.6448	46.5556		15248;15013	osm
	SI	Piran	13.5676	45.5289		15096	osm
SI NOG	SI	Nova Gorica	13.7167	45.9667		15092	unlocode
	TR	Ankara	32.8538	39.9215		15514;15505;15722;15758;15811	osm
	TR	Istanbul	28.9652	41.0096		15279;15756;15221;15757	osm
	TR	Kocaeli	27.5125	39.6230		15772	osm
	US	Waimea	-155.6742	20.0195		15202	osm
